,adam,gradient_descend,ada_grad,momentum,Nesterov,rms_prop
0,[-7.  2.],[0. 0.],[0. 0.],[0. 0.],[0. 0.],[0. 0.]
1,[-7.  2.],[-7.  2.],[-7.  2.],[-7.  2.],[-7.  2.],[-7.  2.]
2,[-6.00000014  1.00000003],[-6.9993  1.996 ],[-6.98276197  1.90149695],[-6.9993  1.996 ],[-6.9993  1.996 ],[-6.99454886  1.9688506 ]
3,[-5.03184713  0.0911965 ],[-6.99860007  1.992008  ],[-6.97030869  1.83367318],[-6.99853007  1.991608  ],[-6.99860007  1.992008  ],[-6.99056565  1.94642647]
4,[-4.10003428 -0.61821691],[-6.99790021  1.98802398],[-6.95996107  1.77923037],[-6.99775322  1.98718558],[-6.99790021  1.98802398],[-6.98720988  1.92773913]
5,[-3.21002068 -1.02097687],[-6.99720042  1.98404794],[-6.9508631   1.73271461],[-6.99697576  1.98276897],[-6.99720042  1.98404794],[-6.98421438  1.9112102 ]
6,[-2.36826078 -1.12589651],[-6.9965007   1.98007984],[-6.94261481  1.69159189],[-6.99619832  1.97836177],[-6.9965007   1.98007984],[-6.98145506  1.89610859]
7,[-1.58210664 -1.01884333],[-6.99580105  1.97611968],[-6.93499168  1.65444386],[-6.99542096  1.97396433],[-6.99580105  1.97611968],[-6.97886271  1.88202737]
8,[-0.85951362 -0.78192369],[-6.99510147  1.97216744],[-6.92785292  1.62038273],[-6.99464368  1.96957666],[-6.99510147  1.97216744],[-6.97639424  1.86871364]
9,[-0.20849878 -0.4771694 ],[-6.99440196  1.96822311],[-6.92110343  1.58880945],[-6.99386649  1.96519874],[-6.99440196  1.96822311],[-6.97402071  1.8559981 ]
10,[ 0.36363786 -0.15328775],[-6.99370252  1.96428666],[-6.91467545  1.55929728],[-6.99308938  1.96083055],[-6.99370252  1.96428666],[-6.97172168  1.84376124]
11,[0.85121671 0.14864248],[-6.99300315  1.96035809],[-6.90851867  1.53152952],[-6.99231236  1.95647207],[-6.99300315  1.96035809],[-6.96948204  1.83191524]
12,[1.25099665 0.39485233],[-6.99230385  1.95643737],[-6.90259455  1.50526351],[-6.99153543  1.95212327],[-6.99230385  1.95643737],[-6.96729034  1.82039352]
13,[1.56267561 0.56257058],[-6.99160462  1.9525245 ],[-6.8968728  1.4803084],[-6.99075858  1.94778415],[-6.99160462  1.9525245 ],[-6.96513761  1.80914433]
14,[1.78893423 0.64322088],[-6.99090546  1.94861945],[-6.89132908  1.4565109 ],[-6.98998182  1.94345467],[-6.99090546  1.94861945],[-6.96301672  1.79812662]
15,[1.93504662 0.64141433],[-6.99020637  1.94472221],[-6.88594352  1.4337457 ],[-6.98920515  1.93913481],[-6.99020637  1.94472221],[-6.96092189  1.78730727]
16,[2.00821857 0.57061534],[-6.98950735  1.94083276],[-6.88069963  1.41190873],[-6.98842856  1.93482455],[-6.98950735  1.94083276],[-6.95884837  1.77665919]
17,[2.01685375 0.44866699],[-6.9888084  1.9369511],[-6.87558355  1.39091251],[-6.98765206  1.93052388],[-6.9888084  1.9369511],[-6.95679218  1.76615992]
18,[1.96990244 0.29485001],[-6.98810952  1.9330772 ],[-6.87058351  1.3706826 ],[-6.98687564  1.92623276],[-6.98810952  1.9330772 ],[-6.95475     1.75579072]
19,[1.87636717 0.12826925],[-6.9874107   1.92921104],[-6.86568939  1.35115507],[-6.98609931  1.92195119],[-6.9874107   1.92921104],[-6.95271898  1.74553573]
20,[ 1.74497336 -0.03323366],[-6.98671196  1.92535262],[-6.86089246  1.33227452],[-6.98532307  1.91767913],[-6.98671196  1.92535262],[-6.95069669  1.73538149]
21,[ 1.58397556 -0.1742064 ],[-6.98601329  1.92150191],[-6.85618507  1.31399255],[-6.98454691  1.91341656],[-6.98601329  1.92150191],[-6.94868103  1.72531647]
22,[ 1.40105906 -0.28282262],[-6.98531469  1.91765891],[-6.85156052  1.29626659],[-6.98377084  1.90916347],[-6.98531469  1.91765891],[-6.94667016  1.71533074]
23,[ 1.20329924 -0.35188285],[-6.98461616  1.91382359],[-6.84701288  1.27905896],[-6.98299486  1.90491984],[-6.98461616  1.91382359],[-6.94466249  1.70541571]
24,[ 0.99715061 -0.37915574],[-6.9839177   1.90999595],[-6.84253688  1.26233612],[-6.98221896  1.90068563],[-6.9839177   1.90999595],[-6.9426566   1.69556392]
25,[ 0.78844626 -0.36693223],[-6.98321931  1.90617595],[-6.83812779  1.24606804],[-6.98144315  1.89646084],[-6.98321931  1.90617595],[-6.94065126  1.68576885]
26,[ 0.58239717 -0.32103535],[-6.98252098  1.9023636 ],[-6.8337814   1.23022773],[-6.98066742  1.89224544],[-6.98252098  1.9023636 ],[-6.93864534  1.67602479]
27,[ 0.38358665 -0.24965693],[-6.98182273  1.89855887],[-6.82949387  1.2147908 ],[-6.97989178  1.88803941],[-6.98182273  1.89855887],[-6.93663788  1.66632674]
28,[ 0.19596005 -0.16227132],[-6.98112455  1.89476176],[-6.82526177  1.19973514],[-6.97911623  1.88384273],[-6.98112455  1.89476176],[-6.93462797  1.65667028]
29,[ 0.02281277 -0.06869408],[-6.98042644  1.89097223],[-6.82108193  1.18504062],[-6.97834076  1.87965538],[-6.98042644  1.89097223],[-6.93261482  1.64705152]
30,[-0.13321889  0.0217461 ],[-6.97972839  1.88719029],[-6.8169515   1.17068885],[-6.97756538  1.87547733],[-6.97972839  1.88719029],[-6.93059771  1.63746702]
31,[-0.27015893  0.10095041],[-6.97903042  1.88341591],[-6.81286785  1.15666299],[-6.97679009  1.87130857],[-6.97903042  1.88341591],[-6.92857599  1.62791373]
32,[-0.38668082  0.16267661],[-6.97833252  1.87964908],[-6.80882858  1.14294756],[-6.97601488  1.86714908],[-6.97833252  1.87964908],[-6.92654906  1.61838893]
33,[-0.48208206  0.20296906],[-6.97763469  1.87588978],[-6.80483147  1.12952826],[-6.97523976  1.86299883],[-6.97763469  1.87588978],[-6.92451638  1.60889022]
34,[-0.55624359  0.22031809],[-6.97693692  1.872138  ],[-6.80087449  1.11639193],[-6.97446472  1.85885781],[-6.97693692  1.872138  ],[-6.92247746  1.59941546]
35,[-0.60957545  0.2155338 ],[-6.97623923  1.86839372],[-6.79695573  1.10352632],[-6.97368977  1.85472599],[-6.97623923  1.86839372],[-6.92043183  1.58996275]
36,[-0.64295163  0.19138886],[-6.9755416   1.86465694],[-6.79307345  1.0909201 ],[-6.97291491  1.85060336],[-6.9755416   1.86465694],[-6.91837907  1.58053039]
37,[-0.65763777  0.15212115],[-6.97484405  1.86092762],[-6.78922603  1.07856271],[-6.97214013  1.84648989],[-6.97484405  1.86092762],[-6.9163188   1.57111686]
38,[-0.65521583  0.10288064],[-6.97414657  1.85720577],[-6.78541194  1.06644429],[-6.97136544  1.84238556],[-6.97414657  1.85720577],[-6.91425066  1.56172081]
39,[-0.63750896  0.04917758],[-6.97344915  1.85349136],[-6.78162978  1.05455565],[-6.97059083  1.83829036],[-6.97344915  1.85349136],[-6.91217429  1.55234104]
40,[-0.60650968 -0.00363468],[-6.97275181  1.84978437],[-6.77787822  1.04288817],[-6.96981631  1.83420425],[-6.97275181  1.84978437],[-6.91008939  1.54297648]
41,[-0.5643131  -0.05081697],[-6.97205453  1.8460848 ],[-6.77415603  1.03143376],[-6.96904188  1.83012724],[-6.97205453  1.8460848 ],[-6.90799566  1.53362616]
42,[-0.51305644 -0.08861393],[-6.97135733  1.84239263],[-6.77046205  1.02018485],[-6.96826753  1.82605928],[-6.97135733  1.84239263],[-6.90589282  1.52428924]
43,[-0.4548653  -0.11450622],[-6.97066019  1.83870785],[-6.76679519  1.00913429],[-6.96749327  1.82200036],[-6.97066019  1.83870785],[-6.9037806   1.51496495]
44,[-0.39180684 -0.12732385],[-6.96996312  1.83503043],[-6.76315444  0.99827536],[-6.96671909  1.81795047],[-6.96996312  1.83503043],[-6.90165876  1.50565261]
45,[-0.32584962 -0.12721742],[-6.96926613  1.83136037],[-6.75953883  0.9876017 ],[-6.965945    1.81390958],[-6.96926613  1.83136037],[-6.89952705  1.49635162]
46,[-0.25882988 -0.11550502],[-6.9685692   1.82769765],[-6.75594744  0.97710733],[-6.965171    1.80987767],[-6.9685692   1.82769765],[-6.89738525  1.48706145]
47,[-0.19242397 -0.09442705],[-6.96787234  1.82404226],[-6.75237944  0.96678657],[-6.96439708  1.80585473],[-6.96787234  1.82404226],[-6.89523314  1.47778162]
48,[-0.12812678 -0.06684592],[-6.96717556  1.82039417],[-6.74883399  0.95663403],[-6.96362325  1.80184072],[-6.96717556  1.82039417],[-6.89307049  1.4685117 ]
49,[-0.06723578 -0.03592483],[-6.96647884  1.81675338],[-6.74531035  0.94664463],[-6.96284951  1.79783564],[-6.96647884  1.81675338],[-6.89089712  1.45925133]
50,[-0.01084082 -0.00481409],[-6.96578219  1.81311988],[-6.74180777  0.93681353],[-6.96207585  1.79383946],[-6.96578219  1.81311988],[-6.88871283  1.45000018]
51,[0.04018084 0.02363089],[-6.96508561  1.80949364],[-6.73832558  0.92713611],[-6.96130227  1.78985217],[-6.96508561  1.80949364],[-6.88651742  1.44075797]
52,[0.08516424 0.04707965],[-6.9643891   1.80587465],[-6.73486312  0.91760801],[-6.96052879  1.78587373],[-6.9643891   1.80587465],[-6.8843107   1.43152443]
53,[0.1236517 0.0638885],[-6.96369267  1.8022629 ],[-6.73141976  0.90822504],[-6.95975538  1.78190414],[-6.96369267  1.8022629 ],[-6.88209249  1.42229936]
54,[0.1553834  0.07318408],[-6.9629963   1.79865837],[-6.72799493  0.89898324],[-6.95898207  1.77794337],[-6.9629963   1.79865837],[-6.87986262  1.41308255]
55,[0.18028419 0.07486717],[-6.9623      1.79506106],[-6.72458805  0.8898788 ],[-6.95820884  1.77399141],[-6.9623      1.79506106],[-6.87762091  1.40387386]
56,[0.19844726 0.06954405],[-6.96160377  1.79147094],[-6.72119858  0.88090811],[-6.95743569  1.77004823],[-6.96160377  1.79147094],[-6.87536718  1.39467314]
57,[0.21011528 0.05839975],[-6.96090761  1.78788799],[-6.71782603  0.87206768],[-6.95666264  1.76611382],[-6.96090761  1.78788799],[-6.87310126  1.38548028]
58,[0.21565988 0.04303172],[-6.96021152  1.78431222],[-6.71446989  0.86335421],[-6.95588966  1.76218815],[-6.96021152  1.78431222],[-6.87082299  1.37629518]
59,[0.21555998 0.02526339],[-6.95951549  1.78074359],[-6.71112971  0.85476452],[-6.95511678  1.7582712 ],[-6.95951549  1.78074359],[-6.86853218  1.36711777]
60,[0.21037982 0.00695626],[-6.95881954  1.77718211],[-6.70780503  0.84629556],[-6.95434398  1.75436297],[-6.95881954  1.77718211],[-6.86622869  1.35794798]
61,[ 0.20074709 -0.01016297],[-6.95812366  1.77362774],[-6.70449544  0.83794441],[-6.95357126  1.75046342],[-6.95812366  1.77362774],[-6.86391233  1.34878577]
62,[ 0.18733189 -0.02464659],[-6.95742785  1.77008049],[-6.70120052  0.82970827],[-6.95279864  1.74657254],[-6.95742785  1.77008049],[-6.86158295  1.33963111]
63,[ 0.17082671 -0.03543085],[-6.95673211  1.76654033],[-6.69791988  0.82158444],[-6.95202609  1.7426903 ],[-6.95673211  1.76654033],[-6.85924037  1.33048398]
64,[ 0.15192798 -0.04189579],[-6.95603643  1.76300725],[-6.69465315  0.81357033],[-6.95125364  1.7388167 ],[-6.95603643  1.76300725],[-6.85688444  1.32134438]
65,[ 0.13131942 -0.04387839],[-6.95534083  1.75948123],[-6.69139997  0.80566345],[-6.95048126  1.73495171],[-6.95534083  1.75948123],[-6.85451497  1.3122123 ]
66,[ 0.10965722 -0.04164237],[-6.95464529  1.75596227],[-6.68816     0.79786141],[-6.94970898  1.7310953 ],[-6.95464529  1.75596227],[-6.85213181  1.30308777]
67,[ 0.08755746 -0.03581166],[-6.95394983  1.75245034],[-6.6849329  0.7901619],[-6.94893678  1.72724747],[-6.95394983  1.75245034],[-6.84973478  1.2939708 ]
68,[ 0.06558562 -0.02727762],[-6.95325444  1.74894544],[-6.68171836  0.78256269],[-6.94816467  1.72340819],[-6.95325444  1.74894544],[-6.84732373  1.28486143]
69,[ 0.04424831 -0.017091  ],[-6.95255911  1.74544755],[-6.67851606  0.77506164],[-6.94739264  1.71957745],[-6.95255911  1.74544755],[-6.84489847  1.2757597 ]
70,[ 0.02398716 -0.00635012],[-6.95186385  1.74195666],[-6.67532572  0.76765668],[-6.9466207   1.71575522],[-6.95186385  1.74195666],[-6.84245883  1.26666566]
71,[0.00517485 0.00390431],[-6.95116867  1.73847274],[-6.67214706  0.7603458 ],[-6.94584884  1.71194149],[-6.95116867  1.73847274],[-6.84000464  1.25757935]
72,[-0.01188695  0.01277891],[-6.95047355  1.7349958 ],[-6.6689798   0.75312709],[-6.94507707  1.70813623],[-6.95047355  1.7349958 ],[-6.83753573  1.24850085]
73,[-0.02696766  0.01959513],[-6.9497785   1.73152581],[-6.66582367  0.74599867],[-6.94430538  1.70433943],[-6.9497785   1.73152581],[-6.83505192  1.23943022]
74,[-0.03990631  0.02393055],[-6.94908353  1.72806276],[-6.66267843  0.73895874],[-6.94353379  1.70055107],[-6.94908353  1.72806276],[-6.83255303  1.23036752]
75,[-0.05060849  0.0256325 ],[-6.94838862  1.72460663],[-6.65954383  0.73200557],[-6.94276227  1.69677114],[-6.94838862  1.72460663],[-6.83003888  1.22131285]
76,[-0.05904206  0.02480562],[-6.94769378  1.72115742],[-6.65641964  0.72513745],[-6.94199084  1.6929996 ],[-6.94769378  1.72115742],[-6.82750929  1.21226627]
77,[-0.06523177  0.02177682],[-6.94699901  1.7177151 ],[-6.65330562  0.71835276],[-6.9412195   1.68923645],[-6.94699901  1.7177151 ],[-6.82496407  1.20322789]
78,[-0.06925313  0.01704334],[-6.94630431  1.71427967],[-6.65020157  0.7116499 ],[-6.94044825  1.68548166],[-6.94630431  1.71427967],[-6.82240304  1.19419779]
79,[-0.07122561  0.01121027],[-6.94560968  1.71085111],[-6.64710726  0.70502736],[-6.93967708  1.68173522],[-6.94560968  1.71085111],[-6.819826    1.18517606]
80,[-0.07130546  0.00492419],[-6.94491512  1.70742941],[-6.6440225   0.69848364],[-6.93890599  1.6779971 ],[-6.94491512  1.70742941],[-6.81723277  1.17616282]
81,[-0.06967844 -0.00119036],[-6.94422063  1.70401455],[-6.64094709  0.69201729],[-6.93813499  1.6742673 ],[-6.94422063  1.70401455],[-6.81462315  1.16715817]
82,[-0.06655249 -0.00658626],[-6.9435262   1.70060652],[-6.63788083  0.68562692],[-6.93736408  1.67054578],[-6.9435262   1.70060652],[-6.81199694  1.15816222]
83,[-0.0621506  -0.01083669],[-6.94283185  1.69720531],[-6.63482354  0.67931117],[-6.93659325  1.66683254],[-6.94283185  1.69720531],[-6.80935394  1.14917508]
84,[-0.05670407 -0.01366265],[-6.94213757  1.6938109 ],[-6.63177504  0.67306871],[-6.93582251  1.66312755],[-6.94213757  1.6938109 ],[-6.80669396  1.14019687]
85,[-0.05044621 -0.01494425],[-6.94144335  1.69042328],[-6.62873515  0.66689827],[-6.93505185  1.6594308 ],[-6.94144335  1.69042328],[-6.80401677  1.13122771]
86,[-0.04360658 -0.01471609],[-6.94074921  1.68704243],[-6.62570372  0.6607986 ],[-6.93428128  1.65574226],[-6.94074921  1.68704243],[-6.80132218  1.12226772]
87,[-0.03640593 -0.01314894],[-6.94005514  1.68366835],[-6.62268058  0.65476848],[-6.9335108   1.65206192],[-6.94005514  1.68366835],[-6.79860998  1.11331705]
88,[-0.02905182 -0.01052054],[-6.93936113  1.68030101],[-6.61966557  0.64880674],[-6.9327404   1.64838976],[-6.93936113  1.68030101],[-6.79587994  1.10437582]
89,[-0.02173498 -0.00717937],[-6.93866719  1.67694041],[-6.61665853  0.64291223],[-6.93197008  1.64472577],[-6.93866719  1.67694041],[-6.79313185  1.09544417]
90,[-0.01462645 -0.00350555],[-6.93797333  1.67358653],[-6.61365933  0.63708383],[-6.93119985  1.64106992],[-6.93797333  1.67358653],[-6.79036549  1.08652223]
91,[-0.00787542  0.00012755],[-6.93727953  1.67023935],[-6.61066781  0.63132046],[-6.93042971  1.63742219],[-6.93727953  1.67023935],[-6.78758063  1.07761016]
92,[-0.00160783  0.00338713],[-6.9365858   1.66689887],[-6.60768384  0.62562106],[-6.92965965  1.63378257],[-6.9365858   1.66689887],[-6.78477705  1.0687081 ]
93,[0.00407434 0.00600786],[-6.93589214  1.66356508],[-6.60470728  0.61998459],[-6.92888968  1.63015105],[-6.93589214  1.66356508],[-6.7819545   1.05981621]
94,[0.00909315 0.00780985],[-6.93519855  1.66023795],[-6.601738    0.61441006],[-6.9281198   1.62652759],[-6.93519855  1.66023795],[-6.77911276  1.05093464]
95,[0.01339417 0.00870692],[-6.93450503  1.65691747],[-6.59877587  0.60889649],[-6.92735     1.62291219],[-6.93450503  1.65691747],[-6.77625159  1.04206354]
96,[0.01694554 0.00870543],[-6.93381158  1.65360364],[-6.59582078  0.60344291],[-6.92658028  1.61930483],[-6.93381158  1.65360364],[-6.77337074  1.0332031 ]
97,[0.01973644 0.00789457],[-6.9331182   1.65029643],[-6.5928726  0.5980484],[-6.92581065  1.61570548],[-6.9331182   1.65029643],[-6.77046996  1.02435346]
98,[0.02177531 0.00642995],[-6.93242489  1.64699584],[-6.58993121  0.59271205],[-6.92504111  1.61211414],[-6.93242489  1.64699584],[-6.76754901  1.01551481]
99,[0.02308779 0.00451263],[-6.93173165  1.64370184],[-6.5869965   0.58743297],[-6.92427165  1.60853077],[-6.93173165  1.64370184],[-6.76460762  1.00668732]
100,[0.02371436 0.00236593],[-6.93103847  1.64041444],[-6.58406836  0.5822103 ],[-6.92350228  1.60495538],[-6.93103847  1.64041444],[-6.76164554  0.99787117]
101,[0.02370795 0.00021248],[-6.93034537  1.63713361],[-6.58114668  0.57704319],[-6.92273299  1.60138793],[-6.93034537  1.63713361],[-6.7586625   0.98906654]
102,[ 0.02313145 -0.00174639],[-6.92965234  1.63385934],[-6.57823136  0.57193081],[-6.92196379  1.5978284 ],[-6.92965234  1.63385934],[-6.75565823  0.98027363]
103,[ 0.02205522 -0.00334737],[-6.92895937  1.63059163],[-6.57532229  0.56687236],[-6.92119467  1.5942768 ],[-6.92895937  1.63059163],[-6.75263247  0.97149262]
104,[ 0.02055465 -0.00447662],[-6.92826648  1.62733044],[-6.57241939  0.56186705],[-6.92042564  1.59073308],[-6.92826648  1.62733044],[-6.74958494  0.96272372]
105,[ 0.01870791 -0.0050755 ],[-6.92757365  1.62407578],[-6.56952255  0.55691411],[-6.91965669  1.58719724],[-6.92757365  1.62407578],[-6.74651534  0.95396712]
106,[ 0.01659375 -0.00514068],[-6.92688089  1.62082763],[-6.56663167  0.55201279],[-6.91888783  1.58366926],[-6.92688089  1.62082763],[-6.7434234   0.94522303]
107,[ 0.0142896  -0.00471895],[-6.9261882   1.61758597],[-6.56374668  0.54716234],[-6.91811906  1.58014913],[-6.9261882   1.61758597],[-6.74030883  0.93649167]
108,[ 0.01186979 -0.00389798],[-6.92549558  1.6143508 ],[-6.56086747  0.54236205],[-6.91735037  1.57663682],[-6.92549558  1.6143508 ],[-6.73717133  0.92777324]
109,[ 0.00940414 -0.00279409],[-6.92480303  1.6111221 ],[-6.55799396  0.53761121],[-6.91658176  1.57313231],[-6.92480303  1.6111221 ],[-6.7340106   0.91906797]
110,[ 0.00695665 -0.00153858],[-6.92411055  1.60789986],[-6.55512608  0.53290914],[-6.91581325  1.5696356 ],[-6.92411055  1.60789986],[-6.73082633  0.9103761 ]
111,[ 0.00458458 -0.00026399],[-6.92341814  1.60468406],[-6.55226373  0.52825516],[-6.91504481  1.56614665],[-6.92341814  1.60468406],[-6.72761821  0.90169783]
112,[0.00233774 0.00090846],[-6.9227258   1.60147469],[-6.54940683  0.5236486 ],[-6.91427647  1.56266547],[-6.9227258   1.60147469],[-6.72438593  0.89303343]
113,[0.00025798 0.00187903],[-6.92203353  1.59827174],[-6.54655532  0.51908882],[-6.9135082   1.55919202],[-6.92203353  1.59827174],[-6.72112916  0.88438311]
114,[-0.00162098  0.00257676],[-6.92134133  1.5950752 ],[-6.5437091   0.51457518],[-6.91274003  1.55572629],[-6.92134133  1.5950752 ],[-6.71784758  0.87574715]
115,[-0.00327362  0.00296326],[-6.92064919  1.59188505],[-6.54086812  0.51010707],[-6.91197193  1.55226826],[-6.92064919  1.59188505],[-6.71454086  0.86712578]
116,[-0.00468238  0.00303311],[-6.91995713  1.58870128],[-6.53803229  0.50568388],[-6.91120393  1.54881792],[-6.91995713  1.58870128],[-6.71120866  0.85851926]
117,[-0.00583733  0.00281112],[-6.91926513  1.58552387],[-6.53520154  0.501305  ],[-6.91043601  1.54537525],[-6.91926513  1.58552387],[-6.70785063  0.84992787]
118,[-0.00673565  0.00234708],[-6.9185732   1.58235283],[-6.53237581  0.49696986],[-6.90966817  1.54194024],[-6.9185732   1.58235283],[-6.70446643  0.84135187]
119,[-0.00738101  0.00170857],[-6.91788135  1.57918812],[-6.52955504  0.49267788],[-6.90890042  1.53851285],[-6.91788135  1.57918812],[-6.7010557   0.83279154]
120,[-0.00778284  0.00097291],[-6.91718956  1.57602974],[-6.52673914  0.48842849],[-6.90813276  1.53509309],[-6.91718956  1.57602974],[-6.69761809  0.82424717]
121,[-0.00795552  0.00021893],[-6.91649784  1.57287768],[-6.52392807  0.48422116],[-6.90736518  1.53168093],[-6.91649784  1.57287768],[-6.69415322  0.81571904]
122,[-0.00791757 -0.00048061],[-6.91580619  1.56973193],[-6.52112175  0.48005533],[-6.90659768  1.52827635],[-6.91580619  1.56973193],[-6.69066073  0.80720746]
123,[-0.00769079 -0.00106524],[-6.91511461  1.56659246],[-6.51832013  0.47593048],[-6.90583027  1.52487934],[-6.91511461  1.56659246],[-6.68714023  0.79871272]
124,[-0.0072994  -0.00149126],[-6.9144231   1.56345928],[-6.51552315  0.47184609],[-6.90506295  1.52148988],[-6.9144231   1.56345928],[-6.68359135  0.79023514]
125,[-0.00676922 -0.00173425],[-6.91373166  1.56033236],[-6.51273074  0.46780164],[-6.90429571  1.51810795],[-6.91373166  1.56033236],[-6.68001369  0.78177503]
126,[-0.00612689 -0.00178944],[-6.91304028  1.5572117 ],[-6.50994286  0.46379663],[-6.90352856  1.51473355],[-6.91304028  1.5572117 ],[-6.67640685  0.77333273]
127,[-0.00539916 -0.00167022],[-6.91234898  1.55409727],[-6.50715944  0.45983058],[-6.90276149  1.51136664],[-6.91234898  1.55409727],[-6.67277044  0.76490856]
128,[-0.0046122  -0.00140513],[-6.91165774  1.55098908],[-6.50438044  0.45590299],[-6.9019945   1.50800721],[-6.91165774  1.55098908],[-6.66910404  0.75650288]
129,[-0.00379104 -0.00103366],[-6.91096658  1.5478871 ],[-6.50160579  0.4520134 ],[-6.90122761  1.50465526],[-6.91096658  1.5478871 ],[-6.66540723  0.74811602]
130,[-0.00295909 -0.00060146],[-6.91027548  1.54479133],[-6.49883546  0.44816134],[-6.90046079  1.50131075],[-6.91027548  1.54479133],[-6.66167961  0.73974834]
131,[-0.00213767 -0.0001554 ],[-6.90958445  1.54170174],[-6.49606938  0.44434635],[-6.89969407  1.49797368],[-6.90958445  1.54170174],[-6.65792072  0.73140022]
132,[-0.00134579  0.00026097],[-6.9088935   1.53861834],[-6.4933075   0.44056798],[-6.89892743  1.49464402],[-6.9088935   1.53861834],[-6.65413015  0.72307202]
133,[-0.00059984  0.00061118],[-6.90820261  1.5355411 ],[-6.49054979  0.43682578],[-6.89816087  1.49132177],[-6.90820261  1.5355411 ],[-6.65030745  0.71476412]
134,[8.65216906e-05 8.68626665e-04],[-6.90751179  1.53247002],[-6.48779619  0.43311933],[-6.8973944  1.4880069],[-6.90751179  1.53247002],[-6.64645217  0.70647693]
135,[0.00070244 0.00101813],[-6.90682103  1.52940508],[-6.48504665  0.4294482 ],[-6.89662801  1.4846994 ],[-6.90682103  1.52940508],[-6.64256385  0.69821085]
136,[0.00123985 0.00105621],[-6.90613035  1.52634627],[-6.48230113  0.42581196],[-6.89586171  1.48139925],[-6.90613035  1.52634627],[-6.63864203  0.68996627]
137,[0.00169338 0.0009903 ],[-6.90543974  1.52329358],[-6.47955958  0.42221021],[-6.89509549  1.47810644],[-6.90543974  1.52329358],[-6.63468624  0.68174363]
138,[0.00206026 0.00083696],[-6.9047492   1.52024699],[-6.47682197  0.41864254],[-6.89432936  1.47482094],[-6.9047492   1.52024699],[-6.63069601  0.67354335]
139,[0.00234009 0.00061941],[-6.90405872  1.5172065 ],[-6.47408825  0.41510854],[-6.89356331  1.47154275],[-6.90405872  1.5172065 ],[-6.62667086  0.66536588]
140,[0.00253465 0.00036466],[-6.90336831  1.51417208],[-6.47135837  0.41160783],[-6.89279735  1.46827185],[-6.90336831  1.51417208],[-6.62261028  0.65721166]
141,[0.00264763 0.00010061],[-6.90267798  1.51114374],[-6.46863231  0.40814003],[-6.89203148  1.46500821],[-6.90267798  1.51114374],[-6.6185138   0.64908115]
142,[ 0.00268433 -0.00014672],[-6.90198771  1.50812145],[-6.46591     0.40470474],[-6.89126569  1.46175183],[-6.90198771  1.50812145],[-6.6143809   0.64097483]
143,[ 0.00265143 -0.00035547],[-6.90129751  1.50510521],[-6.46319143  0.4013016 ],[-6.89049998  1.45850269],[-6.90129751  1.50510521],[-6.61021107  0.63289319]
144,[ 0.00255661 -0.0005096 ],[-6.90060738  1.502095  ],[-6.46047655  0.39793024],[-6.88973436  1.45526077],[-6.90060738  1.502095  ],[-6.6060038  0.6248367]
145,[ 0.00240835 -0.00059984],[-6.89991732  1.49909081],[-6.45776532  0.3945903 ],[-6.88896883  1.45202606],[-6.89991732  1.49909081],[-6.60175856  0.61680589]
146,[ 0.00221559 -0.00062395],[-6.89922733  1.49609263],[-6.45505771  0.39128142],[-6.88820338  1.44879854],[-6.89922733  1.49609263],[-6.59747483  0.60880126]
147,[ 0.00198746 -0.00058616],[-6.89853741  1.49310044],[-6.45235367  0.38800326],[-6.88743801  1.44557819],[-6.89853741  1.49310044],[-6.59315206  0.60082334]
148,[ 0.00173309 -0.00049622],[-6.89784755  1.49011424],[-6.44965318  0.38475545],[-6.88667273  1.442365  ],[-6.89784755  1.49011424],[-6.58878972  0.59287268]
149,[ 0.00146132 -0.00036788],[-6.89715777  1.48713401],[-6.4469562   0.38153768],[-6.88590753  1.43915895],[-6.89715777  1.48713401],[-6.58438726  0.58494982]
150,[ 0.00118058 -0.00021719],[-6.89646805  1.48415975],[-6.4442627   0.37834959],[-6.88514242  1.43596002],[-6.89646805  1.48415975],[-6.57994411  0.57705534]
151,[ 8.98658794e-04 -6.07462835e-05],[-6.89577841  1.48119143],[-6.44157264  0.37519087],[-6.8843774   1.43276821],[-6.89577841  1.48119143],[-6.57545972  0.5691898 ]
152,[6.22622558e-04 8.59263333e-05],[-6.89508883  1.47822904],[-6.438886    0.37206118],[-6.88361246  1.42958349],[-6.89508883  1.47822904],[-6.57093353  0.5613538 ]
153,[0.00035869 0.00020978],[-6.89439932  1.47527259],[-6.43620273  0.36896021],[-6.8828476   1.42640586],[-6.89439932  1.47527259],[-6.56636495  0.55354795]
154,[0.00011217 0.00030123],[-6.89370988  1.47232204],[-6.43352281  0.36588764],[-6.88208283  1.42323528],[-6.89370988  1.47232204],[-6.56175342  0.54577285]
155,[-0.00011258  0.00035475],[-6.89302051  1.4693774 ],[-6.43084621  0.36284316],[-6.88131815  1.42007175],[-6.89302051  1.4693774 ],[-6.55709834  0.53802915]
156,[-0.00031218  0.00036896],[-6.89233121  1.46643864],[-6.42817289  0.35982647],[-6.88055355  1.41691526],[-6.89233121  1.46643864],[-6.55239913  0.53031747]
157,[-0.00048418  0.0003464 ],[-6.89164197  1.46350576],[-6.42550284  0.35683727],[-6.87978903  1.41376578],[-6.89164197  1.46350576],[-6.54765521  0.52263849]
