,adam,gradient_descend,ada_grad,momentum,Nesterov,rms_prop
17491,[-6.77959824e-25 -1.16219353e-25],[-1.21752816e+00  1.43716594e-10],[-3.93501179e-02  1.32253369e-13],[-1.00246023e+00  3.03813440e-11],[-1.21752816e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17492,[-6.77959824e-25 -1.16219353e-25],[-1.21740641e+00  1.43716594e-10],[-3.93388874e-02  1.32253369e-13],[-1.00234884e+00  3.03813440e-11],[-1.21740641e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17493,[-6.77959824e-25 -1.16219353e-25],[-1.21728467e+00  1.43716594e-10],[-3.93276600e-02  1.32253369e-13],[-1.00223747e+00  3.03813440e-11],[-1.21728467e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17494,[-6.77959824e-25 -1.16219353e-25],[-1.21716294e+00  1.43716594e-10],[-3.93164358e-02  1.32253369e-13],[-1.00212611e+00  3.03813440e-11],[-1.21716294e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17495,[-6.77959824e-25 -1.16219353e-25],[-1.21704122e+00  1.43716594e-10],[-3.93052149e-02  1.32253369e-13],[-1.00201476e+00  3.03813440e-11],[-1.21704122e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17496,[-6.77959824e-25 -1.16219353e-25],[-1.21691952e+00  1.43716594e-10],[-3.92939971e-02  1.32253369e-13],[-1.00190342e+00  3.03813440e-11],[-1.21691952e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17497,[-6.77959824e-25 -1.16219353e-25],[-1.21679782e+00  1.43716594e-10],[-3.92827826e-02  1.32253369e-13],[-1.0017921e+00  3.0381344e-11],[-1.21679782e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17498,[-6.77959824e-25 -1.16219353e-25],[-1.21667614e+00  1.43716594e-10],[-3.92715712e-02  1.32253369e-13],[-1.00168079e+00  3.03813440e-11],[-1.21667614e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17499,[-6.77959824e-25 -1.16219353e-25],[-1.21655448e+00  1.43716594e-10],[-3.92603630e-02  1.32253369e-13],[-1.00156949e+00  3.03813440e-11],[-1.21655448e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17500,[-6.77959824e-25 -1.16219353e-25],[-1.21643282e+00  1.43716594e-10],[-3.92491581e-02  1.32253369e-13],[-1.0014582e+00  3.0381344e-11],[-1.21643282e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17501,[-6.77959824e-25 -1.16219353e-25],[-1.21631118e+00  1.43716594e-10],[-3.92379563e-02  1.32253369e-13],[-1.00134693e+00  3.03813440e-11],[-1.21631118e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17502,[-6.77959824e-25 -1.16219353e-25],[-1.21618955e+00  1.43716594e-10],[-3.92267578e-02  1.32253369e-13],[-1.00123567e+00  3.03813440e-11],[-1.21618955e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17503,[-6.77959824e-25 -1.16219353e-25],[-1.21606793e+00  1.43716594e-10],[-3.92155624e-02  1.32253369e-13],[-1.00112442e+00  3.03813440e-11],[-1.21606793e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17504,[-6.77959824e-25 -1.16219353e-25],[-1.21594632e+00  1.43716594e-10],[-3.92043702e-02  1.32253369e-13],[-1.00101318e+00  3.03813440e-11],[-1.21594632e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17505,[-6.77959824e-25 -1.16219353e-25],[-1.21582473e+00  1.43716594e-10],[-3.91931813e-02  1.32253369e-13],[-1.00090195e+00  3.03813440e-11],[-1.21582473e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17506,[-6.77959824e-25 -1.16219353e-25],[-1.21570314e+00  1.43716594e-10],[-3.91819955e-02  1.32253369e-13],[-1.00079074e+00  3.03813440e-11],[-1.21570314e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17507,[-6.77959824e-25 -1.16219353e-25],[-1.21558157e+00  1.43716594e-10],[-3.91708129e-02  1.32253369e-13],[-1.00067954e+00  3.03813440e-11],[-1.21558157e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17508,[-6.77959824e-25 -1.16219353e-25],[-1.21546002e+00  1.43716594e-10],[-3.91596335e-02  1.32253369e-13],[-1.00056835e+00  3.03813440e-11],[-1.21546002e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17509,[-6.77959824e-25 -1.16219353e-25],[-1.21533847e+00  1.43716594e-10],[-3.91484573e-02  1.32253369e-13],[-1.00045718e+00  3.03813440e-11],[-1.21533847e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17510,[-6.77959824e-25 -1.16219353e-25],[-1.21521694e+00  1.43716594e-10],[-3.91372843e-02  1.32253369e-13],[-1.00034601e+00  3.03813440e-11],[-1.21521694e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17511,[-6.77959824e-25 -1.16219353e-25],[-1.21509541e+00  1.43716594e-10],[-3.91261144e-02  1.32253369e-13],[-1.00023486e+00  3.03813440e-11],[-1.21509541e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
